sale_ref,customer_id,customer_name,region,sale_date,item,quantity,unit_price,line_total,status,outcome
SO-003670,247,Kestrel Analytics Ltd,LATAM,2026-05-01,Cold-chain container,21,767.99,16127.79,cancelled,at_risk
SO-003722,397,Ravensgate Chemicals GmbH,LATAM,2026-05-01,Pallet rack,23,212.99,4898.77,completed,completed
SO-003672,3,Blue Ridge Logistics Ltd,APAC,2026-05-01,Shrink wrapper,23,60.06,1381.38,completed,completed
SO-003535,212,Pinehurst Logistics Ltd,LATAM,2026-05-01,Tote bin,11,735.48,8090.28,cancelled,at_risk
SO-003617,4,Ironvale Logistics Ltd,UK & Ireland,2026-05-01,Weighing station,18,278.67,5016.06,completed,completed
SO-003680,388,Granite Chemicals Ltd,APAC,2026-05-01,Pallet rack,6,178.61,1071.66,completed,completed
SO-003822,1,Harbourline Logistics Ltd,EMEA,2026-05-01,Label printer,23,838.21,19278.83,pending,at_risk
SO-003790,3,Blue Ridge Logistics Ltd,APAC,2026-05-01,Safety cage,16,566.84,9069.44,pending,at_risk
SO-003576,316,Marlowe Robotics Ltd,EMEA,2026-05-01,Dock leveller,2,568.28,1136.56,completed,completed
SO-003789,324,Ironvale Freight GmbH,UK & Ireland,2026-05-01,Handheld terminal,15,515.13,7726.95,completed,completed
SO-003580,147,Kestrel Ceramics GmbH,LATAM,2026-05-01,Safety cage,6,439.82,2638.92,cancelled,at_risk
SO-003554,2,Cedarcrest Logistics Ltd,LATAM,2026-05-02,Pallet rack,5,823.53,4117.65,pending,at_risk
SO-003757,8,Granite Logistics GmbH,APAC,2026-05-02,Weighing station,8,743.38,5947.04,cancelled,at_risk
SO-003880,55,Copperfield Analytics SA,North America,2026-05-02,Cold-chain container,6,544.99,3269.94,pending,at_risk
SO-003579,1,Harbourline Logistics Ltd,EMEA,2026-05-02,Handheld terminal,5,893.77,4468.85,completed,completed
SO-003905,207,Kestrel Logistics BV,LATAM,2026-05-02,Conveyor belt,6,839.57,5037.42,completed,completed
SO-003497,36,Marlowe Foods Ltd,EMEA,2026-05-02,Sorting arm,23,855.19,19669.37,completed,completed
SO-003801,5,Summit Logistics Ltd,North America,2026-05-02,Tote bin,2,184.72,369.44,completed,completed
SO-003847,62,Cedarcrest Textiles Inc,LATAM,2026-05-02,Sorting arm,23,458.55,10546.65,pending,at_risk
SO-003513,256,Marlowe Analytics GmbH,EMEA,2026-05-02,Conveyor belt,14,161.94,2267.16,completed,completed
SO-003793,1,Harbourline Logistics Ltd,EMEA,2026-05-02,Conveyor belt,19,172.63,3279.97,completed,completed
SO-003671,48,Granite Analytics GmbH,APAC,2026-05-02,Forklift battery,22,649.26,14283.72,completed,completed
SO-003499,65,Summit Textiles BV,North America,2026-05-02,Conveyor belt,25,100.50,2512.50,completed,completed
SO-003734,3,Blue Ridge Logistics Ltd,APAC,2026-05-02,Safety cage,10,312.01,3120.10,pending,at_risk
SO-003871,4,Ironvale Logistics Ltd,UK & Ireland,2026-05-02,Tote bin,22,68.17,1499.74,completed,completed
SO-003517,5,Summit Logistics Ltd,North America,2026-05-02,Forklift battery,18,422.11,7597.98,cancelled,at_risk
SO-003738,148,Granite Ceramics GmbH,APAC,2026-05-02,Label printer,14,910.76,12750.64,completed,completed
SO-003603,184,Ironvale Chemicals GmbH,UK & Ireland,2026-05-02,Weighing station,4,185.41,741.64,completed,completed
SO-003424,1,Harbourline Logistics Ltd,EMEA,2026-05-02,Strapping machine,25,489.54,12238.50,cancelled,at_risk
SO-003703,5,Summit Logistics Ltd,North America,2026-05-02,Tote bin,4,544.08,2176.32,completed,completed
SO-003768,135,Copperfield Freight BV,North America,2026-05-02,Cold-chain container,19,540.29,10265.51,completed,completed
SO-003804,97,Ravensgate Medical Inc,LATAM,2026-05-02,Safety cage,5,327.21,1636.05,completed,completed
SO-003712,9,Meridian Logistics GmbH,UK & Ireland,2026-05-02,Cold-chain container,13,344.68,4480.84,completed,completed
SO-003729,1,Harbourline Logistics Ltd,EMEA,2026-05-02,Weighing station,5,728.44,3642.20,completed,completed
SO-003595,156,Marlowe Ceramics SA,EMEA,2026-05-02,Sorting arm,21,413.06,8674.26,completed,completed
SO-003837,420,Northwind Foods Ltd,North America,2026-05-03,Barcode scanner,13,45.38,589.94,completed,completed
SO-003903,420,Northwind Foods Ltd,North America,2026-05-03,Sorting arm,4,756.35,3025.40,completed,completed
SO-003915,75,Copperfield Textiles Ltd,North America,2026-05-03,Handheld terminal,16,323.92,5182.72,completed,completed
SO-003472,1,Harbourline Logistics Ltd,EMEA,2026-05-03,Label printer,23,93.60,2152.80,cancelled,at_risk
SO-003689,25,Summit Foods Inc,North America,2026-05-03,Tote bin,15,666.48,9997.20,completed,completed
SO-003442,10,Foxglove Logistics GmbH,North America,2026-05-03,Pallet rack,18,586.78,10562.04,completed,completed
SO-003686,1,Harbourline Logistics Ltd,EMEA,2026-05-03,Shrink wrapper,12,956.92,11483.04,cancelled,at_risk
SO-003505,270,Foxglove Textiles Inc,North America,2026-05-03,Weighing station,6,515.56,3093.36,completed,completed
SO-003498,345,Summit Ceramics BV,North America,2026-05-03,Pallet rack,24,67.24,1613.76,completed,completed
SO-003907,7,Kestrel Logistics GmbH,LATAM,2026-05-03,Barcode scanner,8,698.77,5590.16,completed,completed
SO-003800,6,Lakeshore Logistics Ltd,EMEA,2026-05-03,Dock leveller,1,882.27,882.27,cancelled,at_risk
SO-003504,213,Silverbrook Logistics Ltd,APAC,2026-05-03,Shrink wrapper,5,240.53,1202.65,completed,completed
SO-003418,472,Pinehurst Textiles SA,LATAM,2026-05-03,Cold-chain container,19,795.43,15113.17,pending,at_risk
SO-003798,282,Cedarcrest Medical Ltd,LATAM,2026-05-03,Shrink wrapper,24,197.06,4729.44,completed,completed
SO-003407,477,Ravensgate Textiles Inc,LATAM,2026-05-03,Weighing station,8,864.89,6919.12,completed,completed
SO-003781,109,Meridian Robotics Ltd,UK & Ireland,2026-05-03,Barcode scanner,7,441.86,3093.02,completed,completed
SO-003899,2,Cedarcrest Logistics Ltd,LATAM,2026-05-03,Tote bin,25,250.93,6273.25,completed,completed
SO-003788,458,Thistledown Analytics Ltd,APAC,2026-05-04,Strapping machine,14,366.79,5135.06,completed,completed
SO-003557,77,Ravensgate Textiles GmbH,LATAM,2026-05-04,Barcode scanner,8,492.99,3943.92,completed,completed
SO-003529,3,Blue Ridge Logistics Ltd,APAC,2026-05-04,Barcode scanner,5,576.06,2880.30,completed,completed
SO-003547,488,Granite Medical BV,APAC,2026-05-04,Weighing station,23,827.55,19033.65,pending,at_risk
SO-003737,1,Harbourline Logistics Ltd,EMEA,2026-05-04,Conveyor belt,13,887.92,11542.96,completed,completed
SO-003615,1,Harbourline Logistics Ltd,EMEA,2026-05-04,Forklift battery,16,442.63,7082.08,completed,completed
SO-003752,51,Sablewood Analytics SA,EMEA,2026-05-04,Label printer,3,482.08,1446.24,completed,completed
SO-003434,5,Summit Logistics Ltd,North America,2026-05-04,Shrink wrapper,10,149.23,1492.30,completed,completed
SO-003492,122,Cedarcrest Freight SA,LATAM,2026-05-04,Dock leveller,18,505.18,9093.24,pending,at_risk
SO-003659,23,Blue Ridge Foods Inc,APAC,2026-05-04,Weighing station,10,264.35,2643.50,completed,completed
SO-003852,2,Cedarcrest Logistics Ltd,LATAM,2026-05-04,Cold-chain container,3,841.18,2523.54,completed,completed
SO-003460,1,Harbourline Logistics Ltd,EMEA,2026-05-04,Cold-chain container,11,95.69,1052.59,completed,completed
SO-003411,18,Thistledown Logistics SA,APAC,2026-05-04,Handheld terminal,12,588.29,7059.48,pending,at_risk
SO-003427,44,Ironvale Analytics GmbH,UK & Ireland,2026-05-04,Sorting arm,3,117.33,351.99,completed,completed
