SaleId,SaleDate,Amount
1001,2026-07-01,149.90
1002,2026-07-02,89.50
1003,2026-07-03,1250.00
1004,2026-07-05,15.75
1005,2026-07-08,320.40
1006,2026-07-10,74.99
1007,2026-07-12,980.10
1008,2026-07-14,45.00
1009,2026-07-15,610.25
1010,2026-07-16,199.99
1011,2026-07-17,58.75
1012,2026-07-18,415.30
1013,2026-07-19,89.99
1014,2026-07-20,1540.50
1015,2026-07-21,12.99
1016,2026-07-22,275.80
1017,2026-07-23,699.95
1018,2026-07-24,130.45
1019,2026-07-25,980.00
1020,2026-07-26,44.90
1021,2026-07-27,130.41
1022,2026-07-28,980.01
1023,2026-07-29,44.91
